"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 20:03:37 GMT 2023","Mon Jun 12 20:03:37 GMT 2023","499","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Furl%3Dhttp%3A%2F%2Fwww.google.com%2F]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 20:03:37 GMT 2023","Mon Jun 12 20:03:38 GMT 2023","484","tests","test_login_endpoint","","","","test_registration","
    Creating test user
    "
"passed","Mon Jun 12 20:03:34 GMT 2023","Mon Jun 12 20:03:35 GMT 2023","478","tests","test_get_tourist_endpoint","","","","test_get_tourist_success","
    Happy path
    "
"passed","Mon Jun 12 20:03:35 GMT 2023","Mon Jun 12 20:03:35 GMT 2023","507","tests","test_get_tourist_endpoint","","","","test_get_tourist_not_found","
    Verify 404 error
    If you want to verify that the id is not present for sure
    Call GET {{url}}/api/Tourist. But this will degrade performance
    "
"passed","Mon Jun 12 20:03:40 GMT 2023","Mon Jun 12 20:03:41 GMT 2023","456","tests","test_login_endpoint","","","","test_login[data5]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:39 GMT 2023","Mon Jun 12 20:03:39 GMT 2023","495","tests","test_login_endpoint","","","","test_login[data2]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:38 GMT 2023","Mon Jun 12 20:03:39 GMT 2023","488","tests","test_login_endpoint","","","","test_login[data1]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:40 GMT 2023","Mon Jun 12 20:03:40 GMT 2023","494","tests","test_login_endpoint","","","","test_login[data4]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:39 GMT 2023","Mon Jun 12 20:03:40 GMT 2023","462","tests","test_login_endpoint","","","","test_login[data3]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:38 GMT 2023","Mon Jun 12 20:03:38 GMT 2023","512","tests","test_login_endpoint","","","","test_login[data0]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 20:03:35 GMT 2023","Mon Jun 12 20:03:36 GMT 2023","479","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[abc]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 20:03:36 GMT 2023","Mon Jun 12 20:03:37 GMT 2023","474","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Ffilter%3Did%20eq%209999]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 20:03:36 GMT 2023","Mon Jun 12 20:03:36 GMT 2023","500","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[None]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 20:03:41 GMT 2023","Mon Jun 12 20:03:41 GMT 2023","471","tests","test_login_endpoint","","","","test_login[data6]","
    Test the login endpoint with different data parameters.
    "
