"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 19:35:21 GMT 2023","Mon Jun 12 19:35:21 GMT 2023","468","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[None]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 19:35:20 GMT 2023","Mon Jun 12 19:35:21 GMT 2023","475","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[abc]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 19:35:24 GMT 2023","Mon Jun 12 19:35:24 GMT 2023","536","tests","test_login_endpoint","","","","test_login[data2]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:23 GMT 2023","Mon Jun 12 19:35:24 GMT 2023","545","tests","test_login_endpoint","","","","test_login[data1]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:19 GMT 2023","Mon Jun 12 19:35:20 GMT 2023","498","tests","test_get_tourist_endpoint","","","","test_get_tourist_success","
    Happy path
    "
"failed","Mon Jun 12 19:35:18 GMT 2023","Mon Jun 12 19:35:19 GMT 2023","523","tests","test_delete_tourist_endpoint","","","","test_delete_tourist_success",""
"passed","Mon Jun 12 19:35:21 GMT 2023","Mon Jun 12 19:35:22 GMT 2023","504","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Ffilter%3Did%20eq%209999]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 19:35:25 GMT 2023","Mon Jun 12 19:35:25 GMT 2023","531","tests","test_login_endpoint","","","","test_login[data4]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:23 GMT 2023","Mon Jun 12 19:35:23 GMT 2023","529","tests","test_login_endpoint","","","","test_login[data0]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:25 GMT 2023","Mon Jun 12 19:35:26 GMT 2023","464","tests","test_login_endpoint","","","","test_login[data5]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:26 GMT 2023","Mon Jun 12 19:35:26 GMT 2023","491","tests","test_login_endpoint","","","","test_login[data6]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:20 GMT 2023","Mon Jun 12 19:35:20 GMT 2023","476","tests","test_get_tourist_endpoint","","","","test_get_tourist_not_found","
    Verify 404 error
    If you want to verify that the id is not present for sure
    Call GET {{url}}/api/Tourist. But this will degrade performance
    "
"passed","Mon Jun 12 19:35:22 GMT 2023","Mon Jun 12 19:35:22 GMT 2023","503","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Furl%3Dhttp%3A%2F%2Fwww.google.com%2F]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 19:35:24 GMT 2023","Mon Jun 12 19:35:25 GMT 2023","461","tests","test_login_endpoint","","","","test_login[data3]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:35:22 GMT 2023","Mon Jun 12 19:35:23 GMT 2023","494","tests","test_login_endpoint","","","","test_registration","
    Creating test user
    "
