"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 19:24:53 GMT 2023","Mon Jun 12 19:24:54 GMT 2023","627","tests","test_login_endpoint","","","","test_login[data1]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:50 GMT 2023","Mon Jun 12 19:24:51 GMT 2023","611","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[None]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 19:24:53 GMT 2023","Mon Jun 12 19:24:53 GMT 2023","611","tests","test_login_endpoint","","","","test_login[data0]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:54 GMT 2023","Mon Jun 12 19:24:55 GMT 2023","581","tests","test_login_endpoint","","","","test_login[data3]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:49 GMT 2023","Mon Jun 12 19:24:50 GMT 2023","539","tests","test_get_tourist_endpoint","","","","test_get_tourist_not_found","
    Verify 404 error
    If you want to verify that the id is not present for sure
    Call GET {{url}}/api/Tourist. But this will degrade performance
    "
"passed","Mon Jun 12 19:24:52 GMT 2023","Mon Jun 12 19:24:52 GMT 2023","541","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Furl%3Dhttp%3A%2F%2Fwww.google.com%2F]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 19:24:56 GMT 2023","Mon Jun 12 19:24:56 GMT 2023","593","tests","test_login_endpoint","","","","test_login[data5]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:51 GMT 2023","Mon Jun 12 19:24:52 GMT 2023","610","tests","test_get_tourist_endpoint","","","","test_get_tourist_server_error[%3Ffilter%3Did%20eq%209999]","
    Verify 400 error
    First of all, it should not be this way, so I won't check the body
    "
"passed","Mon Jun 12 19:24:55 GMT 2023","Mon Jun 12 19:24:56 GMT 2023","595","tests","test_login_endpoint","","","","test_login[data4]","
    Test the login endpoint with different data parameters.
    "
"failed","Mon Jun 12 19:24:47 GMT 2023","Mon Jun 12 19:24:48 GMT 2023","601","tests","test_delete_tourist_endpoint","","","","test_delete_tourist_success",""
"passed","Mon Jun 12 19:24:50 GMT 2023","Mon Jun 12 19:24:50 GMT 2023","544","tests","test_get_tourist_endpoint","","","","test_get_tourist_invalid_id[abc]","
    Cases for invalid payload
    "
"passed","Mon Jun 12 19:24:54 GMT 2023","Mon Jun 12 19:24:54 GMT 2023","544","tests","test_login_endpoint","","","","test_login[data2]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:56 GMT 2023","Mon Jun 12 19:24:57 GMT 2023","543","tests","test_login_endpoint","","","","test_login[data6]","
    Test the login endpoint with different data parameters.
    "
"passed","Mon Jun 12 19:24:49 GMT 2023","Mon Jun 12 19:24:49 GMT 2023","613","tests","test_get_tourist_endpoint","","","","test_get_tourist_success","
    Happy path
    "
"passed","Mon Jun 12 19:24:52 GMT 2023","Mon Jun 12 19:24:53 GMT 2023","550","tests","test_login_endpoint","","","","test_registration","
    Creating test user
    "
